run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,iterations,purification_level,twirling_enabled,bloch_r_init,bloch_r_final
M1_N2_depolarizing_iid_p_p0.40000,1,2,depolarizing,iid_p,0.4,0.4,0.7333333333,1,0.2666666667,1.11E-16,0.6088888889,1,4.16E-16,7,1,7,TRUE,0.4666666667,1
M1_N2_depolarizing_iid_p_p0.40000,1,2,depolarizing,iid_p,0.4,0.4,0.7333333333,1,0.2666666667,1.11E-16,0.6088888889,1,4.16E-16,8,1,8,TRUE,0.4666666667,1
M1_N2_depolarizing_iid_p_p0.40000,1,2,depolarizing,iid_p,0.4,0.4,0.7333333333,1,0.2666666667,1.11E-16,0.6088888889,1,4.16E-16,9,1,9,TRUE,0.4666666667,1
M1_N2_depolarizing_iid_p_p0.40000,1,2,depolarizing,iid_p,0.4,0.4,0.7333333333,1,0.2666666667,1.11E-16,0.6088888889,1,4.16E-16,10,1,10,TRUE,0.4666666667,1
M1_N2_depolarizing_iid_p_p0.50000,1,2,depolarizing,iid_p,0.5,0.5,0.6666666667,0.6666666667,0.3333333333,0.3333333333,0.5555555556,0.5555555556,1,0,1,0,TRUE,0.3333333333,0.3333333333
M1_N2_depolarizing_iid_p_p0.50000,1,2,depolarizing,iid_p,0.5,0.5,0.6666666667,0.8,0.3333333333,0.2,0.5555555556,0.68,0.6,1,1,1,TRUE,0.3333333333,0.6
M1_N2_depolarizing_iid_p_p0.50000,1,2,depolarizing,iid_p,0.5,0.5,0.6666666667,0.9411764706,0.3333333333,0.05882352941,0.5555555556,0.8892733564,0.1764705882,2,1,2,TRUE,0.3333333333,0.8823529412
M1_N2_depolarizing_iid_p_p0.50000,1,2,depolarizing,iid_p,0.5,0.5,0.6666666667,0.9961089494,0.3333333333,0.003891050584,0.5555555556,0.9922481794,0.01167315175,3,1,3,TRUE,0.3333333333,0.9922178988
M1_N2_depolarizing_iid_p_p0.50000,1,2,depolarizing,iid_p,0.5,0.5,0.6666666667,0.9999847414,0.3333333333,1.53E-05,0.5555555556,0.9999694834,4.58E-05,4,1,4,TRUE,0.3333333333,0.9999694829
M1_N2_depolarizing_iid_p_p0.50000,1,2,depolarizing,iid_p,0.5,0.5,0.6666666667,0.9999999998,0.3333333333,2.33E-10,0.5555555556,0.9999999995,6.98E-10,5,1,5,TRUE,0.3333333333,0.9999999995
