run_id,iteration,merge_num,M,depth,copies_used,N_so_far,noise,mode,p,p_channel,P_success,grover_iters,twirling_applied,purification_level,fidelity,eps_L,purity,bloch_r,fidelity_before_noise,fidelity_after_noise,eps_L_before_noise,eps_L_after_noise,purity_before_noise,purity_after_noise
M1_N2_depolarizing_iid_p_p0.50000,1,0,1,2,4,4,depolarizing,iid_p,0.5,0.5,1,0,TRUE,2,0.9411764706,0.05882352941,0.8892733564,0.8823529412,1,0.6666666667,0.05882352941,0.3333333333,0.8892733564,0.5555555556
M1_N2_depolarizing_iid_p_p0.50000,1,0,1,3,8,8,depolarizing,iid_p,0.5,0.5,1,0,TRUE,3,0.9961089494,0.003891050584,0.9922481794,0.9922178988,1,0.6666666667,0.003891050584,0.3333333333,0.9922481794,0.5555555556
M1_N2_depolarizing_iid_p_p0.50000,1,0,1,4,16,16,depolarizing,iid_p,0.5,0.5,1,0,TRUE,4,0.9999847414,1.53E-05,0.9999694834,0.9999694829,1,0.6666666667,1.53E-05,0.3333333333,0.9999694834,0.5555555556
M1_N2_depolarizing_iid_p_p0.50000,1,0,1,5,32,32,depolarizing,iid_p,0.5,0.5,1,0,TRUE,5,0.9999999998,2.33E-10,0.9999999995,0.9999999995,1,0.6666666667,2.33E-10,0.3333333333,0.9999999995,0.5555555556
M1_N2_depolarizing_iid_p_p0.50000,1,0,1,6,64,64,depolarizing,iid_p,0.5,0.5,1,0,TRUE,6,1,1.11E-16,1,1,1,0.6666666667,1.11E-16,0.3333333333,1,0.5555555556
M1_N2_depolarizing_iid_p_p0.50000,1,0,1,7,128,128,depolarizing,iid_p,0.5,0.5,1,0,TRUE,7,1,1.11E-16,1,1,1,0.6666666667,1.11E-16,0.3333333333,1,0.5555555556
M1_N2_depolarizing_iid_p_p0.50000,1,0,1,8,256,256,depolarizing,iid_p,0.5,0.5,1,0,TRUE,8,1,1.11E-16,1,1,1,0.6666666667,1.11E-16,0.3333333333,1,0.5555555556
M1_N2_depolarizing_iid_p_p0.50000,1,0,1,9,512,512,depolarizing,iid_p,0.5,0.5,1,0,TRUE,9,1,1.11E-16,1,1,1,0.6666666667,1.11E-16,0.3333333333,1,0.5555555556
M1_N2_depolarizing_iid_p_p0.50000,1,0,1,10,1024,1024,depolarizing,iid_p,0.5,0.5,1,0,TRUE,10,1,1.11E-16,1,1,1,0.6666666667,1.11E-16,0.3333333333,1,0.5555555556
M1_N2_depolarizing_iid_p_p0.60000,1,0,1,0,1,1,depolarizing,iid_p,0.6,0.6,1,0,TRUE,0,0.6,0.4,0.52,0.2,1,0.6,0.4,0.4,0.52,0.52
M1_N2_depolarizing_iid_p_p0.60000,1,0,1,1,2,2,depolarizing,iid_p,0.6,0.6,1,0,TRUE,1,0.6923076923,0.3076923077,0.573964497,0.3846153846,1,0.6,0.3076923077,0.4,0.573964497,0.52
M1_N2_depolarizing_iid_p_p0.60000,1,0,1,2,4,4,depolarizing,iid_p,0.6,0.6,1,0,TRUE,2,0.8350515464,0.1649484536,0.7245190775,0.6701030928,1,0.6,0.1649484536,0.4,0.7245190775,0.52
M1_N2_depolarizing_iid_p_p0.60000,1,0,1,3,8,8,depolarizing,iid_p,0.6,0.6,1,0,TRUE,3,0.9624468241,0.03755317588,0.9277141303,0.9248936482,1,0.6,0.03755317588,0.4,0.9277141303,0.52
M1_N2_depolarizing_iid_p_p0.60000,1,0,1,4,16,16,depolarizing,iid_p,0.6,0.6,1,0,TRUE,4,0.9984798755,0.001520124544,0.9969643725,0.9969597509,1,0.6,0.001520124544,0.4,0.9969643725,0.52
M1_N2_depolarizing_iid_p_p0.60000,1,0,1,5,32,32,depolarizing,iid_p,0.6,0.6,1,0,TRUE,5,0.9999976822,2.32E-06,0.9999953644,0.9999953644,1,0.6,2.32E-06,0.4,0.9999953644,0.52
M1_N2_depolarizing_iid_p_p0.60000,1,0,1,6,64,64,depolarizing,iid_p,0.6,0.6,1,0,TRUE,6,1,5.37E-12,1,1,1,0.6,5.37E-12,0.4,1,0.52
M1_N2_depolarizing_iid_p_p0.60000,1,0,1,7,128,128,depolarizing,iid_p,0.6,0.6,1,0,TRUE,7,1,1.11E-16,1,1,1,0.6,1.11E-16,0.4,1,0.52
M1_N2_depolarizing_iid_p_p0.60000,1,0,1,8,256,256,depolarizing,iid_p,0.6,0.6,1,0,TRUE,8,1,1.11E-16,1,1,1,0.6,1.11E-16,0.4,1,0.52
M1_N2_depolarizing_iid_p_p0.60000,1,0,1,9,512,512,depolarizing,iid_p,0.6,0.6,1,0,TRUE,9,1,1.11E-16,1,1,1,0.6,1.11E-16,0.4,1,0.52
M1_N2_depolarizing_iid_p_p0.60000,1,0,1,10,1024,1024,depolarizing,iid_p,0.6,0.6,1,0,TRUE,10,1,1.11E-16,1,1,1,0.6,1.11E-16,0.4,1,0.52
M1_N2_depolarizing_iid_p_p0.70000,1,0,1,0,1,1,depolarizing,iid_p,0.7,0.7,1,0,TRUE,0,0.5333333333,0.4666666667,0.5022222222,0.06666666667,1,0.5333333333,0.4666666667,0.4666666667,0.5022222222,0.5022222222
M1_N2_depolarizing_iid_p_p0.70000,1,0,1,1,2,2,depolarizing,iid_p,0.7,0.7,1,0,TRUE,1,0.5663716814,0.4336283186,0.5088104002,0.1327433628,1,0.5333333333,0.4336283186,0.4666666667,0.5088104002,0.5022222222
M1_N2_depolarizing_iid_p_p0.70000,1,0,1,2,4,4,depolarizing,iid_p,0.7,0.7,1,0,TRUE,2,0.6304448207,0.3695551793,0.5340317025,0.2608896414,1,0.5333333333,0.3695551793,0.4666666667,0.5340317025,0.5022222222
M1_N2_depolarizing_iid_p_p0.70000,1,0,1,3,8,8,depolarizing,iid_p,0.7,0.7,1,0,TRUE,3,0.744264189,0.255735811,0.619329988,0.4885283779,1,0.5333333333,0.255735811,0.4666666667,0.619329988,0.5022222222
M1_N2_depolarizing_iid_p_p0.70000,1,0,1,4,16,16,depolarizing,iid_p,0.7,0.7,1,0,TRUE,4,0.8944007132,0.1055992868,0.8111038451,0.7888014263,1,0.5333333333,0.1055992868,0.4666666667,0.8111038451,0.5022222222
M1_N2_depolarizing_iid_p_p0.70000,1,0,1,5,32,32,depolarizing,iid_p,0.7,0.7,1,0,TRUE,5,0.9862518105,0.01374818952,0.9728816464,0.972503621,1,0.5333333333,0.01374818952,0.4666666667,0.9728816464,0.5022222222
M1_N2_depolarizing_iid_p_p0.70000,1,0,1,6,64,64,depolarizing,iid_p,0.7,0.7,1,0,TRUE,6,0.9998057187,0.0001942813041,0.9996115129,0.9996114374,1,0.5333333333,0.0001942813041,0.4666666667,0.9996115129,0.5022222222
M1_N2_depolarizing_iid_p_p0.70000,1,0,1,7,128,128,depolarizing,iid_p,0.7,0.7,1,0,TRUE,7,0.9999999622,3.78E-08,0.9999999245,0.9999999245,1,0.5333333333,3.78E-08,0.4666666667,0.9999999245,0.5022222222
M1_N2_depolarizing_iid_p_p0.70000,1,0,1,8,256,256,depolarizing,iid_p,0.7,0.7,1,0,TRUE,8,1,1.28E-15,1,1,1,0.5333333333,1.28E-15,0.4666666667,1,0.5022222222
M1_N2_depolarizing_iid_p_p0.70000,1,0,1,9,512,512,depolarizing,iid_p,0.7,0.7,1,0,TRUE,9,1,1.11E-16,1,1,1,0.5333333333,1.11E-16,0.4666666667,1,0.5022222222
M1_N2_depolarizing_iid_p_p0.70000,1,0,1,10,1024,1024,depolarizing,iid_p,0.7,0.7,1,0,TRUE,10,1,1.11E-16,1,1,1,0.5333333333,1.11E-16,0.4666666667,1,0.5022222222
M1_N2_depolarizing_iid_p_p0.80000,1,0,1,0,1,1,depolarizing,iid_p,0.8,0.8,1,0,TRUE,0,0.4666666667,0.5333333333,0.5022222222,0.06666666667,1,0.4666666667,0.5333333333,0.5333333333,0.5022222222,0.5022222222
M1_N2_depolarizing_iid_p_p0.80000,1,0,1,1,2,2,depolarizing,iid_p,0.8,0.8,1,0,TRUE,1,0.4336283186,0.5663716814,0.5088104002,0.1327433628,1,0.4666666667,0.5663716814,0.5333333333,0.5088104002,0.5022222222
M1_N2_depolarizing_iid_p_p0.80000,1,0,1,2,4,4,depolarizing,iid_p,0.8,0.8,1,0,TRUE,2,0.3695551793,0.6304448207,0.5340317025,0.2608896414,1,0.4666666667,0.6304448207,0.5333333333,0.5340317025,0.5022222222
M1_N2_depolarizing_iid_p_p0.80000,1,0,1,3,8,8,depolarizing,iid_p,0.8,0.8,1,0,TRUE,3,0.255735811,0.744264189,0.619329988,0.4885283779,1,0.4666666667,0.744264189,0.5333333333,0.619329988,0.5022222222
M1_N2_depolarizing_iid_p_p0.80000,1,0,1,4,16,16,depolarizing,iid_p,0.8,0.8,1,0,TRUE,4,0.1055992868,0.8944007132,0.8111038451,0.7888014263,1,0.4666666667,0.8944007132,0.5333333333,0.8111038451,0.5022222222
M1_N2_depolarizing_iid_p_p0.80000,1,0,1,5,32,32,depolarizing,iid_p,0.8,0.8,1,0,TRUE,5,0.01374818952,0.9862518105,0.9728816464,0.972503621,1,0.4666666667,0.9862518105,0.5333333333,0.9728816464,0.5022222222
M1_N2_depolarizing_iid_p_p0.80000,1,0,1,6,64,64,depolarizing,iid_p,0.8,0.8,1,0,TRUE,6,0.0001942813041,0.9998057187,0.9996115129,0.9996114374,1,0.4666666667,0.9998057187,0.5333333333,0.9996115129,0.5022222222
M1_N2_depolarizing_iid_p_p0.80000,1,0,1,7,128,128,depolarizing,iid_p,0.8,0.8,1,0,TRUE,7,3.78E-08,0.9999999622,0.9999999245,0.9999999245,1,0.4666666667,0.9999999622,0.5333333333,0.9999999245,0.5022222222
M1_N2_depolarizing_iid_p_p0.80000,1,0,1,8,256,256,depolarizing,iid_p,0.8,0.8,1,0,TRUE,8,1.41E-15,1,1,1,1,0.4666666667,1,0.5333333333,1,0.5022222222
M1_N2_depolarizing_iid_p_p0.80000,1,0,1,9,512,512,depolarizing,iid_p,0.8,0.8,1,0,TRUE,9,0,1,1,1,1,0.4666666667,1,0.5333333333,1,0.5022222222
