run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,bloch_r_init,bloch_r_final
M3_N4_dephase_z_iid_p_p0.70000_twirl,3,4,dephase_z,iid_p,0.7,0.7,0.09,0.0543861093165743,0.9100000000000004,0.9456138906834256,0.3364000000000004,0.4322618167750546,1.03913614360816,2,True,,
M3_N4_dephase_z_iid_p_p0.75000_twirl,3,4,dephase_z,iid_p,0.75,0.75,0.0624999999999999,0.0313063405521645,0.9375,0.9686936594478353,0.3906249999999996,0.5347979045579176,1.0332732367443576,2,True,,
M3_N4_dephase_z_iid_p_p0.80000_twirl,3,4,dephase_z,iid_p,0.8,0.8,0.0399999999999999,0.0161135681811152,0.9599999999999996,0.9838864318188844,0.4623999999999996,0.648101615268919,1.0248816998113386,2,True,,
M3_N4_dephase_z_iid_p_p0.90000_twirl,3,4,dephase_z,iid_p,0.9,0.9,0.0099999999999999,0.0023781545323475,0.9899999999999998,0.997621845467652,0.6723999999999994,0.8592988435691034,1.0076988338057091,2,True,,
M3_N8_dephase_z_iid_p_p0.01000_twirl,3,8,dephase_z,iid_p,0.01,0.01,0.9800999999999996,0.9973684023073248,0.0198999999999997,0.0026315976926745,0.96079204,0.9947471835499502,0.1322410900841488,3,True,,
M3_N8_dephase_z_iid_p_p0.10000_twirl,3,8,dephase_z,iid_p,0.1,0.1,0.8099999999999994,0.9580893468144996,0.1899999999999998,0.0419106531854999,0.6723999999999996,0.9187810343372658,0.2205823851868422,3,True,,
M3_N8_dephase_z_iid_p_p0.20000_twirl,3,8,dephase_z,iid_p,0.2,0.2,0.6399999999999995,0.8613261329920765,0.3599999999999999,0.1386738670079228,0.4623999999999996,0.7505224141308448,0.3852051861331191,3,True,,
M3_N8_dephase_z_iid_p_p0.30000_twirl,3,8,dephase_z,iid_p,0.3,0.3,0.4899999999999997,0.6835915777058877,0.5099999999999998,0.3164084222941118,0.3364,0.507828902449343,0.6204086711649254,3,True,,
M3_N8_dephase_z_iid_p_p0.40000_twirl,3,8,dephase_z,iid_p,0.4,0.4,0.3599999999999999,0.4538394504400919,0.6399999999999998,0.5461605495599076,0.2704,0.312874392719878,0.8533758586873559,3,True,,
M3_N8_dephase_z_iid_p_p0.50000_twirl,3,8,dephase_z,iid_p,0.5,0.5,0.25,0.2499999999999998,0.75,0.7499999999999998,0.2500000000000003,0.2499999999999999,0.9999999999999996,3,True,,
M3_N8_dephase_z_iid_p_p0.60000_twirl,3,8,dephase_z,iid_p,0.6,0.6,0.1599999999999999,0.1114669393623016,0.84,0.888533060637698,0.2704,0.312874392719878,1.0577774531401167,3,True,,
M3_N8_dephase_z_iid_p_p0.70000_twirl,3,8,dephase_z,iid_p,0.7,0.7,0.09,0.0363800275360228,0.9100000000000004,0.9636199724639768,0.3364000000000004,0.5078289024493426,1.0589230466637105,3,True,,
M3_N8_dephase_z_iid_p_p0.75000_twirl,3,8,dephase_z,iid_p,0.75,0.75,0.0624999999999999,0.0177952912344093,0.9375,0.9822047087655904,0.3906249999999996,0.6328516748572632,1.0476850226832963,3,True,,
M3_N8_dephase_z_iid_p_p0.80000_twirl,3,8,dephase_z,iid_p,0.8,0.8,0.0399999999999999,0.0076711129803663,0.9599999999999996,0.9923288870196336,0.4623999999999996,0.7505224141308446,1.0336759239787856,3,True,,
M3_N8_dephase_z_iid_p_p0.90000_twirl,3,8,dephase_z,iid_p,0.9,0.9,0.0099999999999999,0.0007960787260054,0.9899999999999998,0.9992039212739944,0.6723999999999994,0.9187810343372652,1.009296890175752,3,True,,
M3_N16_dephase_z_iid_p_p0.01000_twirl,3,16,dephase_z,iid_p,0.01,0.01,0.9800999999999996,0.9986790048667372,0.0198999999999997,0.0013209951332622,0.96079204,0.9973606250047196,0.0663816649880515,4,True,,
M3_N16_dephase_z_iid_p_p0.10000_twirl,3,16,dephase_z,iid_p,0.1,0.1,0.8099999999999994,0.9777168471658884,0.1899999999999998,0.0222831528341108,0.6723999999999996,0.9561695089244676,0.1172797517584783,4,True,,
M3_N16_dephase_z_iid_p_p0.20000_twirl,3,16,dephase_z,iid_p,0.2,0.2,0.6399999999999995,0.9158459368617532,0.3599999999999999,0.0841540631382462,0.4623999999999996,0.8419723745757874,0.2337612864951284,4,True,,
M3_N16_dephase_z_iid_p_p0.30000_twirl,3,16,dephase_z,iid_p,0.3,0.3,0.4899999999999997,0.7632756083576783,0.5099999999999998,0.2367243916423211,0.3364,0.6056274255414051,0.464165473808473,4,True,,
M3_N16_dephase_z_iid_p_p0.40000_twirl,3,16,dephase_z,iid_p,0.4,0.4,0.3599999999999999,0.5025687917097162,0.6399999999999998,0.4974312082902833,0.2704,0.3427109317236396,0.777236262953568,4,True,,
M3_N16_dephase_z_iid_p_p0.50000_twirl,3,16,dephase_z,iid_p,0.5,0.5,0.25,0.2499999999999998,0.75,0.75,0.2500000000000003,0.2499999999999999,1.0,4,True,,
M3_N16_dephase_z_iid_p_p0.60000_twirl,3,16,dephase_z,iid_p,0.6,0.6,0.1599999999999999,0.0943668477503277,0.84,0.9056331522496724,0.2704,0.3427109317236396,1.0781347050591337,4,True,,
M3_N16_dephase_z_iid_p_p0.70000_twirl,3,16,dephase_z,iid_p,0.7,0.7,0.09,0.0250051805468765,0.9100000000000004,0.974994819453123,0.3364000000000004,0.6056274255414047,1.0714228785199151,4,True,,
M3_N16_dephase_z_iid_p_p0.75000_twirl,3,16,dephase_z,iid_p,0.75,0.75,0.0624999999999999,0.0110922283410158,0.9375,0.988907771658984,0.3906249999999996,0.7393983829971558,1.0548349564362498,4,True,,
M3_N16_dephase_z_iid_p_p0.80000_twirl,3,16,dephase_z,iid_p,0.8,0.8,0.0399999999999999,0.0044158011873055,0.9599999999999996,0.9955841988126936,0.4623999999999996,0.8419723745757871,1.0370668737632232,4,True,,
M3_N16_dephase_z_iid_p_p0.90000_twirl,3,16,dephase_z,iid_p,0.9,0.9,0.0099999999999999,0.0004152180228416,0.9899999999999998,0.9995847819771584,0.6723999999999994,0.9561695089244676,1.0096815979567255,4,True,,
M3_N32_dephase_z_iid_p_p0.01000_twirl,3,32,dephase_z,iid_p,0.01,0.01,0.9800999999999996,0.9993375505313036,0.0198999999999997,0.0006624494686956,0.96079204,0.9986757591765596,0.0332889180249055,5,True,,
M3_N32_dephase_z_iid_p_p0.10000_twirl,3,32,dephase_z,iid_p,0.1,0.1,0.8099999999999994,0.9883400480196292,0.1899999999999998,0.0116599519803702,0.6723999999999996,0.9768832655029536,0.0613681683177381,5,True,,
M3_N32_dephase_z_iid_p_p0.20000_twirl,3,32,dephase_z,iid_p,0.2,0.2,0.6399999999999995,0.9512439465118588,0.3599999999999999,0.0487560534881405,0.4623999999999996,0.9060029296264056,0.1354334819115016,5,True,,
M3_N32_dephase_z_iid_p_p0.30000_twirl,3,32,dephase_z,iid_p,0.3,0.3,0.4899999999999997,0.8333101771184636,0.5099999999999998,0.1666898228815357,0.3364,0.706639110129708,0.3268427899637956,5,True,,
M3_N32_dephase_z_iid_p_p0.40000_twirl,3,32,dephase_z,iid_p,0.4,0.4,0.3599999999999999,0.5573303616309118,0.6399999999999998,0.4426696383690878,0.2704,0.3845352615783268,0.6916713099516999,5,True,,
M3_N32_dephase_z_iid_p_p0.50000_twirl,3,32,dephase_z,iid_p,0.5,0.5,0.25,0.2499999999999999,0.75,0.75,0.2500000000000003,0.25,1.0,5,True,,
M3_N32_dephase_z_iid_p_p0.60000_twirl,3,32,dephase_z,iid_p,0.6,0.6,0.1599999999999999,0.0718407324008806,0.84,0.928159267599119,0.2704,0.3845352615783268,1.1049515090465702,5,True,,
M3_N32_dephase_z_iid_p_p0.70000_twirl,3,32,dephase_z,iid_p,0.7,0.7,0.09,0.0110553986630999,0.9100000000000004,0.9889446013369,0.3364000000000004,0.706639110129708,1.0867523091614284,5,True,,
M3_N32_dephase_z_iid_p_p0.75000_twirl,3,32,dephase_z,iid_p,0.75,0.75,0.0624999999999999,0.0035930360453544,0.9375,0.996406963954645,0.3906249999999996,0.8288372973902617,1.0628340948849548,5,True,,
M3_N32_dephase_z_iid_p_p0.80000_twirl,3,32,dephase_z,iid_p,0.8,0.8,0.0399999999999999,0.0010752900228721,0.9599999999999996,0.9989247099771276,0.4623999999999996,0.9060029296264056,1.0405465728928418,5,True,,
M3_N32_dephase_z_iid_p_p0.90000_twirl,3,32,dephase_z,iid_p,0.9,0.9,0.0099999999999999,6.593314909981905e-05,0.9899999999999998,0.9999340668508994,0.6723999999999994,0.9768832655029532,1.0100344109605046,5,True,,
M3_N64_dephase_z_iid_p_p0.01000_twirl,3,64,dephase_z,iid_p,0.01,0.01,0.9800999999999996,0.9996683914606166,0.0198999999999997,0.0003316085393827,0.96079204,0.9993369478493592,0.0166637456976249,6,True,,
M3_N64_dephase_z_iid_p_p0.10000_twirl,3,64,dephase_z,iid_p,0.1,0.1,0.8099999999999994,0.994051886511128,0.1899999999999998,0.0059481134888715,0.6723999999999996,0.9881567401179756,0.031305860467745,6,True,,
M3_N64_dephase_z_iid_p_p0.20000_twirl,3,64,dephase_z,iid_p,0.2,0.2,0.6399999999999995,0.9735842815977188,0.3599999999999999,0.0264157184022806,0.4623999999999996,0.9482067884793416,0.0733769955618906,6,True,,
M3_N64_dephase_z_iid_p_p0.30000_twirl,3,64,dephase_z,iid_p,0.3,0.3,0.4899999999999997,0.8933106956480026,0.5099999999999998,0.1066893043519968,0.3364,0.8032270328379993,0.2091947144156802,6,True,,
M3_N64_dephase_z_iid_p_p0.40000_twirl,3,64,dephase_z,iid_p,0.4,0.4,0.3599999999999999,0.6227988665670792,0.6399999999999998,0.3772011334329201,0.2704,0.4435652205747121,0.5893767709889379,6,True,,
M3_N64_dephase_z_iid_p_p0.50000_twirl,3,64,dephase_z,iid_p,0.5,0.5,0.25,0.2499999999999997,0.75,0.7499999999999998,0.2500000000000003,0.2499999999999999,0.9999999999999996,6,True,,
M3_N64_dephase_z_iid_p_p0.60000_twirl,3,64,dephase_z,iid_p,0.6,0.6,0.1599999999999999,0.0515272692715898,0.84,0.9484727307284098,0.2704,0.4435652205747121,1.1291342032481069,6,True,,
M3_N64_dephase_z_iid_p_p0.70000_twirl,3,64,dephase_z,iid_p,0.7,0.7,0.09,0.004699624388942,0.9100000000000004,0.995300375611058,0.3364000000000004,0.8032270328379989,1.0937366764956675,6,True,,
M3_N64_dephase_z_iid_p_p0.75000_twirl,3,64,dephase_z,iid_p,0.75,0.75,0.0624999999999999,0.0012493829561143,0.9375,0.9987506170438852,0.3906249999999996,0.898120935945905,1.065333991513478,6,True,,
M3_N64_dephase_z_iid_p_p0.80000_twirl,3,64,dephase_z,iid_p,0.8,0.8,0.0399999999999999,0.0003263095444367,0.9599999999999996,0.9996736904555634,0.4623999999999996,0.9482067884793416,1.0413267608912125,6,True,,
M3_N64_dephase_z_iid_p_p0.90000_twirl,3,64,dephase_z,iid_p,0.9,0.9,0.0099999999999999,1.7390223943633526e-05,0.9899999999999998,0.999982609776056,0.6723999999999994,0.9881567401179748,1.0100834442182387,6,True,,
M3_N128_dephase_z_iid_p_p0.01000_twirl,3,128,dephase_z,iid_p,0.01,0.01,0.9800999999999996,0.999834113252575,0.0198999999999997,0.0001658867474243,0.96079204,0.9996682677782144,0.00833601745851,7,True,,
M3_N128_dephase_z_iid_p_p0.10000_twirl,3,128,dephase_z,iid_p,0.1,0.1,0.8099999999999994,0.9969993811804994,0.1899999999999998,0.0030006188195,0.6723999999999996,0.9940122417991232,0.0157927306289475,7,True,,
M3_N128_dephase_z_iid_p_p0.20000_twirl,3,128,dephase_z,iid_p,0.2,0.2,0.6399999999999995,0.9862662661552672,0.3599999999999999,0.0137337338447319,0.4623999999999996,0.9728131965418292,0.0381492606798109,7,True,,
M3_N128_dephase_z_iid_p_p0.30000_twirl,3,128,dephase_z,iid_p,0.3,0.3,0.4899999999999997,0.9379377437267312,0.5099999999999998,0.0620622562732682,0.3364,0.8815008489055807,0.1216906985750359,7,True,,
M3_N128_dephase_z_iid_p_p0.40000_twirl,3,128,dephase_z,iid_p,0.4,0.4,0.3599999999999999,0.7001258276103016,0.6399999999999998,0.2998741723896978,0.2704,0.5259962168174328,0.468553394358903,7,True,,
M3_N128_dephase_z_iid_p_p0.50000_twirl,3,128,dephase_z,iid_p,0.5,0.5,0.25,0.2499999999999999,0.75,0.7499999999999999,0.2500000000000003,0.25,1.0,7,True,,
M3_N128_dephase_z_iid_p_p0.60000_twirl,3,128,dephase_z,iid_p,0.6,0.6,0.1599999999999999,0.0375336894917749,0.84,0.9624663105082248,0.2704,0.5259962168174328,1.1457932267955058,7,True,,
M3_N128_dephase_z_iid_p_p0.70000_twirl,3,128,dephase_z,iid_p,0.7,0.7,0.09,0.0026184783015969,0.9100000000000004,0.997381521698403,0.3364000000000004,0.88150084890558,1.096023650218025,7,True,,
M3_N128_dephase_z_iid_p_p0.75000_twirl,3,128,dephase_z,iid_p,0.75,0.75,0.0624999999999999,0.000659043314994,0.9375,0.999340956685006,0.3906249999999996,0.9439373771605122,1.0659636871306732,7,True,,
M3_N128_dephase_z_iid_p_p0.80000_twirl,3,128,dephase_z,iid_p,0.8,0.8,0.0399999999999999,0.0001675469073846,0.9599999999999996,0.999832453092615,0.4623999999999996,0.9728131965418294,1.0414921386381413,7,True,,
M3_N128_dephase_z_iid_p_p0.90000_twirl,3,128,dephase_z,iid_p,0.9,0.9,0.0099999999999999,8.747060034383231e-06,0.9899999999999998,0.9999912529399656,0.6723999999999994,0.9940122417991232,1.010092174686834,7,True,,
M3_N256_dephase_z_iid_p_p0.01000_twirl,3,256,dephase_z,iid_p,0.01,0.01,0.9800999999999996,0.999917025690828,0.0198999999999997,8.297430917134709e-05,0.96079204,0.9998340617084752,0.0041695632749421,8,True,,
M3_N256_dephase_z_iid_p_p0.10000_twirl,3,256,dephase_z,iid_p,0.1,0.1,0.8099999999999994,0.9984896895462924,0.1899999999999998,0.0015103104537068,0.6723999999999996,0.9969827989361028,0.0079490023879306,8,True,,
