noise_type,dimension,N,physical_error_rate,batch_memory,streaming_memory,memory_improvement_factor,batch_final_error,streaming_best_error,streaming_average_error,streaming_output_count,batch_swaps,streaming_swaps,batch_amplifications,streaming_amplifications,batch_convergence,streaming_convergence
depolarizing,32,128,0.7,128,7,18.285714285714285,0.09735732693357346,0.09735732693357346,0.09735732693357346,1,127,127,0,0,True,True
depolarizing,32,256,0.01,256,8,32.0,3.8608285100594913e-05,3.8608285100594913e-05,3.8608285100594913e-05,1,255,255,0,0,True,True
depolarizing,32,256,0.1,256,8,32.0,0.0004684268828380987,0.0004684268828380987,0.0004684268828380987,1,255,255,0,0,True,True
depolarizing,32,256,0.5,256,8,32.0,0.009048628556882037,0.009048628556882037,0.009048628556882037,1,255,255,0,0,True,True
depolarizing,32,256,0.7,256,8,32.0,0.05380679945123995,0.05380679945123995,0.05380679945123995,1,255,255,0,0,True,True
depolarizing,64,8,0.01,8,3,2.6666666666666665,0.0012523003308131681,0.0012523003308131681,0.0012523003308131681,1,7,7,0,0,True,True
depolarizing,64,8,0.1,8,3,2.6666666666666665,0.014792095471455028,0.014792095471455028,0.014792095471455028,1,7,7,0,0,True,True
depolarizing,64,8,0.5,8,3,2.6666666666666665,0.19233137664498245,0.19233137664498245,0.19233137664498245,1,7,7,0,0,True,True
depolarizing,64,8,0.7,8,3,2.6666666666666665,0.4685898264964578,0.4685898264964578,0.4685898264964578,1,7,7,0,0,True,True
depolarizing,64,16,0.01,16,4,4.0,0.0006269472387079849,0.0006269472387079849,0.0006269472387079849,1,15,15,0,0,True,True
depolarizing,64,16,0.1,16,4,4.0,0.007508009041400676,0.007508009041400676,0.007508009041400676,1,15,15,0,0,True,True
depolarizing,64,16,0.5,16,4,4.0,0.11671407860950098,0.11671407860950098,0.11671407860950098,1,15,15,0,0,True,True
depolarizing,64,16,0.7,16,4,4.0,0.3671216528805581,0.3671216528805581,0.3671216528805581,1,15,15,0,0,True,True
depolarizing,64,32,0.01,32,5,6.4,0.0003136733329049315,0.0003136733329049315,0.0003136733329049315,1,31,31,0,0,True,True
depolarizing,64,32,0.1,32,5,6.4,0.0037827444735823185,0.0037827444735823185,0.0037827444735823185,1,31,31,0,0,True,True
