noise_type,dimension,N,physical_error_rate,iterations,logical_errors,fidelities,purities,success_probabilities,amplification_iterations,total_swap_operations,total_amplification_iterations,memory_levels_used,theoretical_predictions
symmetric_pauli,2,8,0.95,"[0, 1, 2, 3]","[0.6333333333333333, 0.24699999999999997, 0.09633, 0.0375687]","[0.3666666666666667, 0.753, 0.90367, 0.9624313]","[0.2666666666666666, 0.506, 0.8073399999999998, 0.9248625999999999]","[0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10]",7,0,3,"[0.475, 0.4725, 0.46974999999999995, 0.46672499999999995]"
symmetric_pauli,2,8,0.99,"[0, 1, 2, 3]","[0.6600000000000001, 0.26268, 0.10454663999999998, 0.04160956271999998]","[0.3399999999999999, 0.7373200000000002, 0.8954533600000003, 0.9583904372800003]","[0.32000000000000006, 0.4746400000000002, 0.7909067200000003, 0.9167808745600003]","[0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10]",7,0,3,"[0.495, 0.4945, 0.49395, 0.493345]"
symmetric_pauli,2,16,0.1,"[0, 1, 2, 3, 4]","[0.06666666666666664, 0.014666666666666682, 0.003226666666666682, 0.0007098666666666541, 0.0001561706666666369]","[0.9333333333333333, 0.9853333333333333, 0.9967733333333333, 0.9992901333333334, 0.9998438293333334]","[0.8666666666666667, 0.9706666666666666, 0.9935466666666666, 0.9985802666666667, 0.9996876586666666]","[0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10]",15,0,4,"[0.04999999999999999, 0.004999999999999949, 0.0, 0.0, 0.0]"
symmetric_pauli,2,16,0.2,"[0, 1, 2, 3, 4]","[0.1333333333333333, 0.032000000000000015, 0.007680000000000023, 0.0018431999999999886, 0.0004423679999999818]","[0.8666666666666667, 0.968, 0.99232, 0.9981568000000001, 0.9995576319999999]","[0.7333333333333334, 0.9359999999999998, 0.98464, 0.9963136, 0.9991152640000001]","[0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10]",15,0,4,"[0.09999999999999998, 0.05999999999999994, 0.015999999999999903, 0.0, 0.0]"
symmetric_pauli,2,16,0.5,"[0, 1, 2, 3, 4]","[0.33333333333333337, 0.09999999999999999, 0.03, 0.009000000000000003, 0.0026999999999999962]","[0.6666666666666667, 0.9000000000000001, 0.9700000000000001, 0.9910000000000001, 0.9973000000000001]","[0.33333333333333337, 0.8000000000000002, 0.9400000000000001, 0.9820000000000001, 0.9946000000000002]","[0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10]",15,0,4,"[0.25, 0.22499999999999998, 0.19749999999999995, 0.1672499999999999, 0.13397499999999984]"
symmetric_pauli,2,16,0.8,"[0, 1, 2, 3, 4]","[0.5333333333333334, 0.19200000000000012, 0.06912000000000006, 0.024883200000000043, 0.008957952000000007]","[0.4666666666666666, 0.808, 0.9308800000000002, 0.9751168000000001, 0.9910420480000002]","[0.06666666666666671, 0.616, 0.8617600000000001, 0.9502336000000001, 0.9820840960000001]","[0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10]",15,0,4,"[0.4, 0.39, 0.379, 0.3669, 0.35358999999999996]"
symmetric_pauli,2,16,0.9,"[0, 1, 2, 3, 4]","[0.6000000000000003, 0.228, 0.08663999999999994, 0.032923199999999965, 0.012510815999999963]","[0.39999999999999997, 0.7720000000000004, 0.9133600000000005, 0.9670768000000005, 0.9874891840000005]","[0.19999999999999998, 0.5440000000000005, 0.8267200000000006, 0.9341536000000005, 0.9749783680000006]","[0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10]",15,0,4,"[0.45, 0.445, 0.4395, 0.43345, 0.426795]"
symmetric_pauli,2,16,0.95,"[0, 1, 2, 3, 4]","[0.6333333333333333, 0.247, 0.09633000000000001, 0.03756869999999999, 0.01465179299999999]","[0.3666666666666667, 0.753, 0.90367, 0.9624313, 0.985348207]","[0.26666666666666666, 0.506, 0.8073400000000001, 0.9248626, 0.9706964140000001]","[0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10]",15,0,4,"[0.475, 0.4725, 0.46974999999999995, 0.46672499999999995, 0.46339749999999996]"
symmetric_pauli,2,16,0.99,"[0, 1, 2, 3, 4]","[0.66, 0.2626799999999999, 0.10454663999999995, 0.04160956271999997, 0.01656060596255996]","[0.33999999999999997, 0.7373200000000001, 0.8954533600000001, 0.9583904372800001, 0.9834393940374401]","[0.32, 0.4746400000000002, 0.7909067200000001, 0.91678087456, 0.9668787880748801]","[0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10]",15,0,4,"[0.495, 0.4945, 0.49395, 0.493345, 0.4926795]"
symmetric_pauli,2,32,0.1,"[0, 1, 2, 3, 4, 5]","[0.06666666666666665, 0.014666666666666656, 0.003226666666666638, 0.0007098666666666514, 0.00015617066666667577, 3.4357546666675974e-05]","[0.9333333333333338, 0.9853333333333337, 0.9967733333333337, 0.9992901333333337, 0.9998438293333338, 0.9999656424533337]","[0.8666666666666671, 0.9706666666666671, 0.9935466666666671, 0.9985802666666671, 0.999687658666667, 0.999931284906667]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10]",31,0,5,"[0.04999999999999999, 0.004999999999999949, 0.0, 0.0, 0.0, 0.0]"
