noise_type,dimension,N,physical_error_rate,total_states_processed,output_states_count,max_stack_depth_used,theoretical_memory_bound,memory_efficiency,total_swap_operations,total_amplification_iterations,best_output_error,worst_output_error,average_output_error,memory_improvement_vs_batch,output_error_levels,convergence_achieved,noise_model_name
depolarizing,4,32,0.1,0,1,5,6,5.0,31,0,0.002877012787612765,0.002877012787612765,0.002877012787612765,6.4,[5],True,Depolarizing_d4_delta0.100
depolarizing,4,32,0.5,0,1,5,6,5.0,31,0,0.045900703786780045,0.045900703786780045,0.045900703786780045,6.4,[5],True,Depolarizing_d4_delta0.500
depolarizing,4,32,0.7,0,1,5,6,5.0,31,0,0.1593328716040889,0.1593328716040889,0.1593328716040889,6.4,[5],True,Depolarizing_d4_delta0.700
depolarizing,4,32,0.8,0,1,5,6,5.0,31,0,0.30397196625194534,0.30397196625194534,0.30397196625194534,6.4,[5],True,Depolarizing_d4_delta0.800
depolarizing,4,32,0.9,0,1,5,6,5.0,31,0,0.5273316301611184,0.5273316301611184,0.5273316301611184,6.4,[5],True,Depolarizing_d4_delta0.900
depolarizing,4,32,0.95,0,1,5,6,5.0,31,0,0.646019541543922,0.646019541543922,0.646019541543922,6.4,[5],True,Depolarizing_d4_delta0.950
depolarizing,4,32,0.99,0,1,5,6,5.0,31,0,0.7308794387168958,0.7308794387168958,0.7308794387168958,6.4,[5],True,Depolarizing_d4_delta0.990
depolarizing,4,64,0.01,0,1,6,7,6.0,63,0,0.00011953079686052859,0.00011953079686052859,0.00011953079686052859,10.666666666666666,[6],True,Depolarizing_d4_delta0.010
depolarizing,4,64,0.1,0,1,6,7,6.0,63,0,0.0014440324590539455,0.0014440324590539455,0.0014440324590539455,10.666666666666666,[6],True,Depolarizing_d4_delta0.100
depolarizing,4,64,0.5,0,1,6,7,6.0,63,0,0.024386607073578093,0.024386607073578093,0.024386607073578093,10.666666666666666,[6],True,Depolarizing_d4_delta0.500
depolarizing,4,64,0.7,0,1,6,7,6.0,63,0,0.09782929279053384,0.09782929279053384,0.09782929279053384,10.666666666666666,[6],True,Depolarizing_d4_delta0.700
depolarizing,4,64,0.8,0,1,6,7,6.0,63,0,0.2209342255635595,0.2209342255635595,0.2209342255635595,10.666666666666666,[6],True,Depolarizing_d4_delta0.800
depolarizing,4,64,0.9,0,1,6,7,6.0,63,0,0.4711044879429883,0.4711044879429883,0.4711044879429883,10.666666666666666,[6],True,Depolarizing_d4_delta0.900
depolarizing,4,64,0.95,0,1,6,7,6.0,63,0,0.6209454357570008,0.6209454357570008,0.6209454357570008,10.666666666666666,[6],True,Depolarizing_d4_delta0.950
